application_id,student_id,program_id,applied,accepted,enrolled,completion,satisfaction_score,career_outcome
1,349,192,1.0,1,1.0,1.0,8.0,Academic Position
2,30,86,1.0,0,0.0,0.0,0.0,
3,359,222,1.0,0,0.0,0.0,0.0,
4,338,101,1.0,0,0.0,0.0,0.0,
5,331,226,1.0,1,1.0,1.0,5.0,Research Role
6,427,60,1.0,1,1.0,1.0,7.0,Research Role
7,497,250,1.0,0,0.0,0.0,0.0,
8,316,48,1.0,1,0.0,0.0,0.0,
9,486,117,1.0,1,0.0,0.0,0.0,
10,296,227,1.0,0,0.0,0.0,0.0,
11,449,33,1.0,1,1.0,0.0,0.0,
12,413,44,1.0,1,1.0,1.0,3.0,Industry Job
13,330,165,1.0,0,0.0,0.0,0.0,
14,220,292,1.0,0,0.0,0.0,0.0,
15,377,287,1.0,0,0.0,0.0,0.0,
16,479,225,1.0,1,1.0,1.0,8.0,Further Studies
17,147,286,1.0,1,1.0,1.0,8.0,Industry Job
18,259,204,1.0,1,1.0,1.0,3.0,Industry Job
19,292,172,1.0,0,0.0,0.0,0.0,
20,299,12,1.0,1,1.0,1.0,9.0,Started Company
21,143,121,1.0,1,1.0,1.0,8.0,Started Company
22,481,244,1.0,1,1.0,1.0,1.0,Further Studies
23,425,152,1.0,1,1.0,1.0,8.0,Further Studies
24,235,152,1.0,1,1.0,1.0,4.0,Further Studies
25,115,188,1.0,1,1.0,0.0,0.0,
26,365,13,1.0,1,1.0,1.0,6.0,Further Studies
27,90,91,1.0,1,1.0,1.0,10.0,Further Studies
28,208,200,1.0,0,0.0,0.0,0.0,
29,164,74,1.0,1,1.0,1.0,9.0,Industry Job
30,481,256,1.0,1,0.0,0.0,0.0,
31,84,276,1.0,1,0.0,0.0,0.0,
32,77,71,1.0,0,0.0,0.0,0.0,
33,161,78,1.0,0,0.0,0.0,0.0,
34,5,284,1.0,0,0.0,0.0,0.0,
35,485,130,1.0,0,0.0,0.0,0.0,
36,78,43,1.0,1,1.0,1.0,5.0,Industry Job
37,91,8,1.0,1,0.0,0.0,0.0,
38,87,13,1.0,0,0.0,0.0,0.0,
39,270,213,1.0,0,0.0,0.0,0.0,
40,104,111,1.0,1,1.0,1.0,7.0,Research Role
41,452,291,1.0,0,0.0,0.0,0.0,
42,487,23,1.0,1,1.0,1.0,1.0,Research Role
43,500,254,1.0,0,0.0,0.0,0.0,
44,339,15,1.0,0,0.0,0.0,0.0,
45,175,130,1.0,0,0.0,0.0,0.0,
46,54,61,1.0,0,0.0,0.0,0.0,
47,388,115,1.0,1,1.0,1.0,9.0,Academic Position
48,478,67,1.0,0,0.0,0.0,0.0,
49,211,249,1.0,1,1.0,1.0,6.0,Industry Job
50,95,175,1.0,1,1.0,1.0,4.0,Further Studies
51,223,2,1.0,0,0.0,0.0,0.0,
52,9,172,1.0,0,0.0,0.0,0.0,
53,53,284,1.0,1,1.0,1.0,6.0,Academic Position
54,77,54,1.0,1,0.0,0.0,0.0,
55,206,67,1.0,1,1.0,1.0,5.0,Started Company
56,316,102,1.0,0,0.0,0.0,0.0,
57,302,120,1.0,0,0.0,0.0,0.0,
58,310,191,1.0,0,0.0,0.0,0.0,
59,330,47,1.0,1,0.0,0.0,0.0,
60,112,222,1.0,1,1.0,1.0,3.0,Industry Job
61,351,21,1.0,1,0.0,0.0,0.0,
62,165,158,1.0,1,1.0,1.0,7.0,Research Role
63,279,159,1.0,0,0.0,0.0,0.0,
64,27,235,1.0,1,1.0,1.0,3.0,Industry Job
65,70,150,1.0,1,0.0,0.0,0.0,
66,218,257,1.0,0,0.0,0.0,0.0,
67,450,165,1.0,1,1.0,1.0,2.0,Industry Job
68,365,77,1.0,1,1.0,1.0,4.0,Industry Job
69,189,85,1.0,1,1.0,1.0,7.0,Industry Job
70,333,46,1.0,1,1.0,1.0,5.0,Started Company
71,435,47,1.0,0,0.0,0.0,0.0,
72,306,213,1.0,1,1.0,0.0,0.0,
73,124,59,1.0,0,0.0,0.0,0.0,
74,19,54,1.0,1,1.0,1.0,9.0,Research Role
75,257,12,1.0,0,0.0,0.0,0.0,
76,296,192,1.0,1,1.0,1.0,10.0,Industry Job
77,416,6,1.0,1,1.0,1.0,7.0,Started Company
78,22,144,1.0,1,0.0,0.0,0.0,
79,368,261,1.0,0,0.0,0.0,0.0,
80,477,73,1.0,0,0.0,0.0,0.0,
81,450,174,1.0,1,1.0,1.0,9.0,Academic Position
82,40,232,1.0,1,1.0,1.0,9.0,Industry Job
83,38,270,1.0,1,1.0,1.0,2.0,Started Company
84,48,222,1.0,0,0.0,0.0,0.0,
85,183,52,1.0,1,1.0,1.0,1.0,Further Studies
86,75,116,1.0,1,1.0,1.0,4.0,Academic Position
87,209,26,1.0,1,1.0,1.0,4.0,Research Role
88,183,53,1.0,1,1.0,1.0,2.0,Industry Job
